time_of_day,district,total_request,dispatched_request,total_GMV,avg_trip_factor,driver_cancel_before_accept,driver_cancel_after_accept,driver_ask_rider_cancel,cancel_rate
Afternoon Peak,Sóc Sơn,35,18,474886,,0,0,0,0
Afternoon Peak,Đan Phượng,34,15,289485,,0,3,0,0.08823529412
Afternoon Peak,Ứng Hoà,1,0,,,0,0,0,0
Afternoon Peak,Hoàng Mai,2116,1995,44861443,1.205645161,4,214,1,0.1034971645
Afternoon Peak,Gia Lâm,157,105,2247887,1.2,0,9,0,0.05732484076
Afternoon Peak,Từ Liêm,4182,3928,95455423,1.235612536,15,354,2,0.08871353419
Afternoon Peak,Ba Đình,1372,1317,29689231,1.282213439,1,105,3,0.07944606414
Afternoon Peak,Thanh Oai,30,10,254612,,0,0,0,0
Afternoon Peak,Phúc Thọ,2,0,,,0,0,0,0
Afternoon Peak,Mỹ Đức,1,0,,,0,0,0,0
Afternoon Peak,Thanh Xuân,2281,2149,44759367,1.218137848,13,202,1,0.09469530907
Afternoon Peak,Sơn Tây,1,0,,,0,0,0,0
Afternoon Peak,Tây Hồ,629,562,13899463,1.230379747,2,41,2,0.07154213037
Afternoon Peak,Tây Hồ,660,580,14180926,1.184782609,4,44,3,0.07727272727
Afternoon Peak,Hai Bà Trưng,1774,1657,39277189,1.227777778,1,114,1,0.06538895152
Afternoon Peak,Gia Lâm,201,125,3718727,1.177777778,4,15,2,0.1044776119
Afternoon Peak,Thường Tín,7,1,14990,,0,0,0,0
Afternoon Peak,Hoàn Kiếm,1026,970,21077447,1.2278125,8,53,1,0.0604288499
Afternoon Peak,Cầu Giấy,3407,3224,67209796,1.21920904,3,243,0,0.07220428529
Afternoon Peak,Mỹ Đức,2,1,,,0,0,0,0
Afternoon Peak,Phú Xuyên,1,0,,,0,0,0,0
Afternoon Peak,Long Biên,479,385,9776787,1.14,0,26,0,0.05427974948
Afternoon Peak,Hoài Đức,240,148,3821444,,2,16,0,0.075
Afternoon Peak,Hà Đông,1079,939,21851559,1.168131868,2,127,1,0.1204819277
Afternoon Peak,Đông Anh,65,28,601538,,0,1,0,0.01538461538
Afternoon Peak,Thanh Oai,68,14,230208,,0,2,0,0.02941176471
Afternoon Peak,Quốc Oai,2,2,,,0,0,0,0
Afternoon Peak,Đống Đa,2900,2734,56175220,1.213807531,8,207,2,0.07482758621
Afternoon Peak,Ba Đình,1311,1239,27597392,1.193165468,6,97,4,0.08161708619
Afternoon Peak,Từ Liêm,3898,3590,85991462,1.196732026,16,340,0,0.09132888661
Afternoon Peak,Sóc Sơn,28,14,1130212,,0,1,0,0.03571428571
Afternoon Peak,Thanh Trì,552,488,11398791,1.175471698,2,52,0,0.09782608696
Afternoon Peak,Thanh Xuân,2088,1958,42156910,1.181784387,12,161,1,0.08333333333
Afternoon Peak,Hoàng Mai,1974,1807,40835136,1.185714286,13,220,1,0.1185410334
Afternoon Peak,Thạch Thất,5,0,,,0,0,0,0
Afternoon Peak,Ứng Hoà,1,0,,,0,0,0,0
Afternoon Peak,Sơn Tây,2,0,,,0,0,0,0
Afternoon Peak,Chương Mỹ,23,1,74013,,0,0,0,0
Afternoon Peak,Mê Linh,2,2,,,0,0,0,0
Afternoon Peak,Đan Phượng,31,7,515242,,0,0,0,0
Day Off Peak,Thanh Xuân,2148,2026,44308629,1.216509434,6,138,0,0.06703910615
Day Off Peak,Thanh Oai,33,21,675251,,0,1,0,0.0303030303
Day Off Peak,Hoàn Kiếm,784,756,16604082,,2,55,0,0.07270408163
Day Off Peak,Thanh Trì,524,472,11735127,1.213084112,3,50,0,0.1011450382
Day Off Peak,Từ Liêm,4151,3683,95132230,1.256308851,10,309,2,0.07733076367
Day Off Peak,Mê Linh,4,1,87129,,0,0,0,0
Day Off Peak,Phúc Thọ,1,0,,,0,0,0,0
Day Off Peak,Hoàng Mai,2031,1880,46480745,1.203225806,3,182,4,0.09305760709
Day Off Peak,Sóc Sơn,20,5,297882,,0,2,0,0.1
Day Off Peak,Sơn Tây,1,0,,,0,0,0,0
Day Off Peak,Hà Đông,1147,1062,26458876,1.234972678,5,118,1,0.1081081081
Day Off Peak,Gia Lâm,220,124,3433474,1.122222222,0,6,0,0.02727272727
Day Off Peak,Đan Phượng,35,11,223796,,0,2,0,0.05714285714
Day Off Peak,Tây Hồ,582,507,14173574,1.271171171,1,49,2,0.08934707904
Day Off Peak,Cầu Giấy,3162,2977,62291876,1.243253968,10,202,3,0.06799493991
Day Off Peak,Ba Đình,1184,1126,24393195,1.205970149,0,69,1,0.05912162162
Day Off Peak,Hai Bà Trưng,1687,1593,38055642,1.206086957,3,122,1,0.07468879668
Day Off Peak,Chương Mỹ,7,1,,,0,0,0,0
Day Off Peak,Quốc Oai,4,0,,,0,0,0,0
Day Off Peak,Thường Tín,13,1,,,0,0,0,0
Day Off Peak,Long Biên,530,372,10420191,1.235714286,1,33,0,0.0641509434
Day Off Peak,Hoài Đức,266,162,3951335,,1,19,0,0.07518796992
Day Off Peak,Thạch Thất,18,0,,,0,0,0,0
Day Off Peak,Đống Đa,2797,2633,54712086,1.225242718,2,174,0,0.06292456203
Day Off Peak,Đông Anh,48,20,582843,,0,1,0,0.02083333333
Day Off Peak,Đống Đa,2373,2256,46867620,,2,142,3,0.06194690265
Day Off Peak,Hai Bà Trưng,1612,1522,38768097,1.23125,5,88,1,0.05831265509
Day Off Peak,Mê Linh,18,3,,,0,2,0,0.1111111111
Day Off Peak,Gia Lâm,173,119,3365193,1.1,0,14,0,0.08092485549
Day Off Peak,Thanh Trì,436,386,9769110,1.166666667,2,46,0,0.1100917431
Day Off Peak,Đông Anh,69,28,795379,,0,5,0,0.07246376812
Day Off Peak,Ba Đình,1152,1104,24650755,1.216666667,2,76,0,0.06770833333
Day Off Peak,Phúc Thọ,1,0,,,0,0,0,0
Day Off Peak,Quốc Oai,19,2,,,0,0,0,0
Day Off Peak,Sóc Sơn,36,12,937165,,0,1,0,0.02777777778
Day Off Peak,Hoài Đức,166,114,2799159,,0,14,0,0.0843373494
Day Off Peak,Hoàng Mai,1566,1445,35053602,1.211827957,7,132,0,0.08876117497
Day Off Peak,Long Biên,467,358,9907585,1.2,0,29,0,0.06209850107
Day Off Peak,Hà Đông,881,815,19267372,1.3,1,88,0,0.1010215664
Day Off Peak,Ứng Hoà,1,0,,,0,0,0,0
Day Off Peak,Đan Phượng,21,8,339227,,0,1,0,0.04761904762
Day Off Peak,Từ Liêm,3068,2822,76687421,1.16,11,209,0,0.07170795306
Day Off Peak,Tây Hồ,560,489,12443642,1.173913043,1,46,0,0.08392857143
Day Off Peak,Thường Tín,22,2,91548,,0,0,0,0
Day Off Peak,Hoàn Kiếm,861,818,18273109,,0,60,1,0.07084785134
Day Off Peak,Thạch Thất,15,0,,,0,0,0,0
Day Off Peak,Sơn Tây,4,0,,,0,0,0,0
Day Off Peak,Mỹ Đức,1,0,,,0,0,0,0
Day Off Peak,Thanh Xuân,1570,1460,30736986,1.186666667,4,106,0,0.07006369427
Day Off Peak,Cầu Giấy,2863,2692,59923271,1.23,3,167,2,0.06007684247
Day Off Peak,Chương Mỹ,13,3,72980,,0,1,0,0.07692307692
Day Off Peak,Thanh Oai,32,19,661926,,0,1,0,0.03125
Day Off Peak,Hoàng Mai,1970,1830,41326600,1.189655172,5,207,0,0.1076142132
Day Off Peak,Ba Đình,1791,1686,35462626,1.263694268,17,172,4,0.1077610274
Day Off Peak,Tây Hồ,701,623,15261563,1.252040816,4,52,2,0.08273894437
Day Off Peak,Chương Mỹ,24,9,242489,,0,0,0,0
Day Off Peak,Hà Đông,1128,1014,22092679,1.206666667,7,189,0,0.1737588652
Day Off Peak,Hai Bà Trưng,2208,2076,48074721,1.245330739,4,183,4,0.08650362319
Day Off Peak,Mỹ Đức,2,0,,,0,0,0,0
Day Off Peak,Đông Anh,54,22,704545,,0,2,0,0.03703703704
Day Off Peak,Hoàn Kiếm,1610,1501,35422214,1.358983051,5,158,5,0.1043478261
Day Off Peak,Long Biên,454,357,10348241,1.2,0,34,0,0.07488986784
Day Off Peak,Sóc Sơn,32,8,216078,,0,2,0,0.0625
Day Off Peak,Hoài Đức,277,185,4587360,,0,23,0,0.08303249097
Day Off Peak,Mê Linh,9,7,89003,,0,4,0,0.4444444444
Day Off Peak,Cầu Giấy,3922,3714,77303077,1.269110577,20,331,3,0.09026007139
